contig	bin
k141_12	0
k141_4400	1
k141_2952	1
k141_22	1
k141_1485	1
k141_4421	1
k141_2965	1
k141_1503	1
k141_4427	2
k141_2984	1
k141_48	1
k141_1521	3
k141_2997	1
k141_55	1
k141_3000	4
k141_1538	1
k141_4451	4
k141_3003	1
k141_4457	1
k141_1549	1
k141_1553	3
k141_81	2
k141_3022	2
k141_1563	3
k141_4490	1
k141_3024	3
k141_88	3
k141_1565	1
k141_3026	2
k141_4496	5
k141_1572	3
k141_4504	6
k141_4512	1
k141_1581	1
k141_3048	3
k141_115	2
k141_3050	7
k141_125	1
k141_1608	1
k141_3052	1
k141_4531	1
k141_3056	1
k141_4534	1
k141_3060	3
k141_4539	1
k141_163	3
k141_4545	3
k141_1648	1
k141_4552	1
k141_4558	8
k141_184	1
k141_3070	3
k141_4571	3
k141_1677	1
k141_3071	3
k141_1679	9
k141_203	5
k141_208	10
k141_3090	2
k141_4593	1
k141_3096	3
k141_235	1
k141_1724	3
k141_4605	1
k141_243	1
k141_1728	11
k141_3109	1
k141_244	2
k141_1729	3
k141_1746	1
k141_251	3
k141_3145	1
k141_4633	1
k141_1749	6
k141_258	12
k141_3146	4
k141_4639	1
k141_261	5
k141_1759	1
k141_4650	13
k141_269	1
k141_4652	14
k141_3190	1
k141_282	1
k141_1786	1
k141_1788	15
k141_285	1
k141_1789	1
k141_3206	1
k141_4662	1
k141_3215	1
k141_304	1
k141_4666	1
k141_1801	1
k141_4667	1
k141_4670	1
k141_3232	1
k141_344	1
k141_1823	3
k141_4678	16
k141_354	1
k141_1837	1
k141_4698	17
k141_3259	18
k141_3260	19
k141_363	1
k141_4709	20
k141_1860	1
k141_4715	1
k141_3291	1
k141_4717	1
k141_372	3
k141_1871	1
k141_387	2
k141_1890	1
k141_3317	1
k141_4761	3
k141_1894	1
k141_3323	2
k141_1897	3
k141_4773	1
k141_3341	3
k141_433	2
k141_1920	5
k141_3342	3
k141_4793	18
k141_3344	21
k141_4801	6
k141_449	4
k141_3345	1
k141_1933	3
k141_1938	22
k141_4817	3
k141_459	2
k141_4819	23
k141_3351	1
k141_1944	1
k141_3360	1
k141_471	1
k141_1951	1
k141_4841	18
k141_3372	24
k141_3380	3
k141_486	2
k141_4851	1
k141_3385	1
k141_1965	2
k141_1966	1
k141_3394	4
k141_4875	25
k141_4876	1
k141_1982	2
k141_3403	5
k141_1984	1
k141_4887	1
k141_1991	1
k141_2003	5
k141_563	3
k141_569	3
k141_3458	2
k141_4945	1
k141_2036	3
k141_3469	1
k141_594	1
k141_3470	1
k141_4971	1
k141_3472	3
k141_2069	3
k141_4986	3
k141_2075	3
k141_3478	1
k141_616	13
k141_3484	26
k141_4998	3
k141_5005	6
k141_2097	1
k141_3497	2
k141_5008	19
k141_626	1
k141_5011	23
k141_2107	1
k141_627	1
k141_5025	1
k141_2109	3
k141_3528	3
k141_2112	3
k141_3534	1
k141_5049	1
k141_2116	3
k141_3540	1
k141_5051	1
k141_3552	3
k141_3558	5
k141_5074	1
k141_2137	5
k141_3574	27
k141_2154	3
k141_702	6
k141_3576	3
k141_5090	3
k141_3580	4
k141_709	5
k141_3597	1
k141_2194	1
k141_719	1
k141_3600	5
k141_5122	3
k141_722	1
k141_2209	1
k141_3617	1
k141_5126	1
k141_2223	6
k141_3628	1
k141_3640	1
k141_2239	3
k141_3645	1
k141_2250	2
k141_3653	1
k141_3665	28
k141_5175	2
k141_3669	3
k141_802	1
k141_2284	2
k141_5190	2
k141_816	1
k141_3689	9
k141_821	1
k141_2304	2
k141_3694	4
k141_830	1
k141_5219	2
k141_3710	29
k141_5224	3
k141_3715	3
k141_2358	1
k141_858	1
k141_2382	23
k141_5262	3
k141_2386	3
k141_884	2
k141_3737	3
k141_2400	2
k141_3741	6
k141_889	3
k141_2407	5
k141_5290	1
k141_2419	2
k141_3757	3
k141_3758	30
k141_2428	1
k141_5308	31
k141_5310	1
k141_915	1
k141_5313	32
k141_3784	2
k141_918	5
k141_5317	3
k141_2458	1
k141_5318	3
k141_936	2
k141_3800	3
k141_2465	2
k141_939	3
k141_943	3
k141_2475	1
k141_5340	33
k141_3811	2
k141_5343	1
k141_2478	3
k141_3822	1
k141_2492	3
k141_5359	3
k141_986	1
k141_2494	3
k141_3856	2
k141_2506	3
k141_1005	1
k141_3888	34
k141_5413	5
k141_2523	1
k141_5424	1
k141_3907	3
k141_1018	5
k141_5435	1
k141_3920	35
k141_5437	23
k141_3921	36
k141_1035	1
k141_3929	3
k141_2566	23
k141_1041	2
k141_3935	1
k141_5468	1
k141_5471	2
k141_2568	3
k141_2575	2
k141_5496	3
k141_2579	1
k141_1090	2
k141_2582	18
k141_1092	2
k141_3981	2
k141_5527	1
k141_3986	3
k141_1115	1
k141_1125	1
k141_3994	3
k141_2609	3
k141_5556	3
k141_5559	3
k141_2625	3
k141_1157	37
k141_2635	18
k141_1162	38
k141_5578	1
k141_2643	39
k141_5586	1
k141_1173	1
k141_4053	23
k141_1176	9
k141_4057	23
k141_2669	1
k141_1187	1
k141_5606	1
k141_2678	1
k141_2679	1
k141_4079	2
k141_1197	3
k141_1201	3
k141_2698	5
k141_4107	6
k141_5645	40
k141_1202	5
k141_1204	1
k141_2717	41
k141_4128	3
k141_1216	42
k141_2724	2
k141_5666	23
k141_4129	3
k141_2735	4
k141_5692	2
k141_4140	3
k141_5699	1
k141_4147	19
k141_1231	3
k141_4177	43
k141_1257	44
k141_2778	2
k141_1260	1
k141_2780	3
k141_4178	3
k141_2787	1
k141_1287	31
k141_2793	19
k141_1288	3
k141_4196	45
k141_4199	1
k141_1298	46
k141_4213	1
k141_2828	1
k141_5787	3
k141_1340	1
k141_5794	1
k141_5802	1
k141_2854	2
k141_1368	1
k141_5804	1
k141_4266	3
k141_5809	2
k141_2883	47
k141_2884	1
k141_4294	1
k141_4306	1
k141_2896	3
k141_4311	1
k141_5826	3
k141_2910	48
k141_4313	2
k141_4314	49
k141_5830	2
k141_1459	1
k141_2911	1
k141_2915	3
k141_5840	3
k141_2920	3
k141_5845	1
k141_2921	23
k141_2922	1
k141_5853	5
k141_4358	1
k141_4378	3
